eGRID2006 Version 2.1 State File (Year 2004 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state-level file has 51 records and 92 data elements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2006 2004 file State sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual mercury emissions (lbs),State annual NOx output emission rate (lb/MWh),State ozone season NOx output emission rate (lb/MWh),State annual SO2 output emission rate (lb/MWh),State annual CO2 output emission rate (lb/MWh),State annual mercury output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual mercury input emission rate (lb/BBtu),State coal annual NOx output emission rate (lb/MWh),State oil annual NOx output emission rate (lb/MWh),State gas annual NOx output emission rate (lb/MWh),State fossil fuel annual NOx output emission rate (lb/MWh),State coal ozone season NOx output emission rate (lb/MWh),State oil ozone season NOx output emission rate (lb/MWh),State gas ozone season NOx output emission rate (lb/MWh),State fossil fuel ozone season NOx output emission rate (lb/MWh),State coal annual SO2 output emission rate (lb/MWh),State oil annual SO2 output emission rate (lb/MWh),State gas annual SO2 output emission rate (lb/MWh),State fossil fuel annual SO2 output emission rate (lb/MWh),State coal annual CO2 output emission rate (lb/MWh),State oil annual CO2 output emission rate (lb/MWh),State gas annual CO2 output emission rate (lb/MWh),State fossil fuel annual CO2 output emission rate (lb/MWh),State coal annual mercury output emission rate (lb/GWh),State fossil fuel annual mercury output emission rate (lb/GWh),State coal annual NOx input emission rate (lb/MMBtu),State oil annual NOx input emission rate (lb/MMBtu),State gas annual NOx input emission rate (lb/MMBtu),State fossil fuel annual NOx input emission rate (lb/MMBtu),State coal ozone season NOx input emission rate (lb/MMBtu),State oil ozone season NOx input emission rate (lb/MMBtu),State gas ozone season NOx input emission rate (lb/MMBtu),State fossil fuel ozone season NOx input emission rate (lb/MMBtu),State coal annual SO2 input emission rate (lb/MMBtu),State oil annual SO2 input emission rate (lb/MMBtu),State gas annual SO2 input emission rate (lb/MMBtu),State fossil fuel annual SO2 input emission rate (lb/MMBtu),State coal annual CO2 input emission rate (lb/MMBtu),State oil annual CO2 input emission rate (lb/MMBtu),State gas annual CO2 input emission rate (lb/MMBtu),State fossil fuel annual CO2 input emission rate (lb/MMBtu),State coal annual mercury input emission rate (lb/BBtu),State fossil fuel annual mercury input emission rate (lb/BBtu),State annual non-baseload NOx output emission rate (lb/MWh),State ozone season non-baseload NOx output emission rate (lb/MWh),State annual non-baseload SO2 output emission rate (lb/MWh) ,State annual non-baseload CO2 output emission rate (lb/MWh) ,State annual non-baseload Hg output emission rate (lb/MWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass/ wood net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),"State annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)",State annual other unknown/purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass/ wood generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),"State other fossil (tires, batteries, chemicals, etc.) generation percent (resource mix)",State other unknown/purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FL,12,59181.60,1841159732.1,884645068.4,215130784.1,102074874.6,250880.19,117106.70,427255.41,145001519.72,2240.47,2.332,2.295,3.972,1348.031,0.0104,0.273,0.265,0.464,157.511,0.0012,3.897,2.364,0.687,2.451,3.876,2.477,0.711,2.417,6.334,6.278,0.129,4.386,1858.172,1327.198,1094.758,1465.686,0.0204,0.0081,0.418,0.288,0.075,0.274,0.412,0.290,0.077,0.266,0.680,0.766,0.014,0.490,199.393,161.936,119.351,163.839,0.0022,0.0009,2.2660,2.1740,4.0860,1493.8550,0.0060,61982539.9,37229243.5,76624772.8,31215576.0,265258.0,5144532.2,0.0,0.0,0.0,710655.3,1958206.3,209720993.9,5409790.2,5144532.2,28.812,17.305,35.618,14.510,0.123,2.391,0.000,0.000,0.000,0.330,0.910,97.485,2.515,2.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GA,13,38486.70,903849880.9,433191294.7,126725243.7,58226957.5,108054.58,33860.65,577233.85,87968285.60,3405.56,1.705,1.163,9.110,1388.331,0.0269,0.239,0.156,1.277,194.652,0.0038,2.535,7.055,0.624,2.418,1.677,12.531,0.637,1.584,13.837,20.056,0.016,12.975,2033.209,2748.351,1259.838,1985.150,0.0410,0.0385,0.252,0.429,0.059,0.240,0.166,0.670,0.058,0.156,1.377,1.220,0.002,1.286,202.388,167.160,118.295,196.811,0.0041,0.0038,2.7510,2.3070,12.9490,1864.9950,0.0280,79988291.2,834946.8,6106699.5,33747705.0,2811924.8,3178985.2,0.0,0.0,0.0,56691.1,0.0,120734333.7,5990910.1,3178985.2,63.120,0.659,4.819,26.631,2.219,2.509,0.000,0.000,0.000,0.045,0.000,95.273,4.728,2.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HI,15,2624.30,115282876.7,50289255.5,11413464.9,4932685.1,21439.39,9442.75,23913.04,9443134.86,133.09,3.757,3.829,4.190,1654.736,0.0117,0.372,0.376,0.415,163.825,0.0012,1.391,4.269,N/A,3.785,1.256,4.353,N/A,3.842,1.142,5.137,N/A,4.465,1876.158,1709.228,N/A,1737.304,N/A,N/A,0.137,0.417,N/A,0.370,0.120,0.425,N/A,0.374,0.112,0.502,N/A,0.437,184.075,167.008,N/A,169.869,N/A,N/A,5.0920,5.2010,4.6540,1697.6050,0.0120,1609992.2,8826174.6,125081.4,0.0,93900.4,377413.2,7495.0,0.0,213288.0,160120.1,0.0,10721368.3,692096.6,598196.2,14.106,77.331,1.096,0.000,0.823,3.307,0.066,0.000,1.869,1.403,0.000,93.936,6.064,5.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IA,19,11643.10,414517500.2,171095184.1,43240157.9,17936059.3,82069.26,33279.89,139451.53,42013951.11,2256.73,3.796,3.711,6.450,1943.284,0.0522,0.396,0.389,0.673,202.713,0.0054,4.570,15.715,1.377,4.524,4.430,18.008,1.870,4.415,7.845,3.799,0.059,7.694,2338.290,2281.302,1262.917,2318.073,0.0635,0.0623,0.400,1.097,0.131,0.396,0.391,1.274,0.150,0.389,0.686,0.265,0.006,0.674,204.557,159.294,120.425,203.036,0.0056,0.0055,4.8300,4.7000,8.2660,2391.5440,0.0570,35272283.6,108559.2,824669.6,4928948.0,945958.9,109888.5,1041928.1,0.0,0.0,7922.1,0.0,41142382.4,2097775.4,1151816.6,81.573,0.251,1.907,11.399,2.188,0.254,2.410,0.000,0.000,0.018,0.000,95.149,4.852,2.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ID,16,3298.10,17480275.7,7145402.5,10734406.7,5813232.6,794.75,308.81,999.15,772582.28,N/A,0.148,0.106,0.186,143.945,N/A,0.091,0.086,0.114,88.395,N/A,4.835,26.898,0.205,0.479,4.022,26.898,0.220,0.449,6.049,2.729,0.006,0.360,1438.801,1761.406,816.824,853.358,N/A,N/A,0.690,2.438,0.030,0.070,0.678,2.438,0.031,0.065,0.864,0.247,0.001,0.052,205.414,159.654,118.852,124.022,N/A,N/A,0.4670,0.4420,0.7410,662.1410,N/A,100099.4,136.0,1710292.5,0.0,8333023.5,573736.1,0.0,0.0,0.0,0.0,17119.2,1827647.1,8906759.6,573736.1,0.933,0.001,15.933,0.000,77.629,5.345,0.000,0.000,0.000,0.000,0.160,17.026,82.974,5.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IL,17,51437.70,1105740105.6,474533220.8,191864320.6,82878330.1,147826.52,39112.30,379355.24,110778055.27,7944.16,1.541,0.944,3.954,1154.754,0.0414,0.267,0.165,0.686,200.369,0.0072,3.028,3.752,1.544,2.978,1.868,3.044,1.048,1.827,7.910,0.395,1.208,7.675,2264.041,265.681,1508.769,2236.999,0.0833,0.0804,0.274,2.226,0.128,0.269,0.169,2.207,0.092,0.165,0.717,0.234,0.100,0.693,205.118,157.607,124.568,202.074,0.0075,0.0073,3.0480,2.0370,7.8640,2230.7780,0.0900,94460597.5,749381.6,3373829.8,92047323.0,153528.8,579424.8,78073.0,0.0,0.0,421921.1,241.0,191053294.1,811026.6,657497.8,49.233,0.391,1.758,47.975,0.080,0.302,0.041,0.000,0.000,0.220,0.000,99.577,0.423,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IN,18,29171.90,1323946992.7,558690303.6,127361874.6,53646176.6,230114.33,69114.06,869726.39,133604380.85,5067.24,3.614,2.577,13.658,2098.028,0.0398,0.348,0.247,1.314,201.827,0.0038,3.736,-5.751,0.590,3.702,2.649,-10.128,0.750,2.625,14.292,-1.663,0.018,14.134,2154.801,-1065.660,1546.403,2148.077,0.0417,0.0412,0.356,0.862,0.045,0.351,0.252,0.573,0.052,0.248,1.360,0.249,0.001,1.341,205.076,159.654,118.126,203.878,0.0040,0.0039,3.8750,2.8570,14.3290,2151.4280,0.0380,120568483.3,425840.0,2114357.7,0.0,443720.8,143473.9,0.0,0.0,0.0,3144322.1,521676.8,126774679.9,587194.7,143473.9,94.666,0.334,1.660,0.000,0.348,0.113,0.000,0.000,0.000,2.469,0.410,99.539,0.461,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KS,20,11731.10,431637108.1,187422932.2,46780900.2,20319895.1,93410.30,39342.09,123935.72,43753705.52,1042.62,3.994,3.872,5.299,1870.580,0.0223,0.433,0.420,0.574,202.734,0.0024,5.160,31.515,4.869,5.150,4.955,31.514,4.545,4.933,6.621,3.014,11.381,6.832,2438.288,2096.417,1850.188,2412.085,0.0301,0.0287,0.434,2.343,0.401,0.433,0.422,2.343,0.386,0.420,0.557,0.224,0.937,0.574,205.137,155.864,152.350,202.734,0.0025,0.0024,5.2620,5.0910,9.0310,2357.8250,0.0270,34591712.3,855373.6,831652.3,10132736.0,12547.0,0.0,356879.0,0.0,0.0,0.0,0.0,46411474.2,369426.0,356879.0,73.944,1.829,1.778,21.660,0.027,0.000,0.763,0.000,0.000,0.000,0.000,99.210,0.790,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KY,21,22950.60,951760223.2,404947303.5,94529946.7,40240879.1,166078.93,41083.34,516429.97,96943071.41,3587.02,3.514,2.042,10.926,2051.055,0.0379,0.349,0.203,1.085,203.713,0.0038,3.679,28.192,1.053,3.670,2.128,28.192,1.016,2.124,11.457,2.715,0.027,11.416,2149.287,1846.179,1341.163,2146.329,0.0399,0.0397,0.351,2.438,0.093,0.350,0.204,2.438,0.092,0.203,1.093,0.235,0.002,1.089,205.038,159.654,118.914,204.698,0.0038,0.0038,3.4970,2.2930,12.4030,2132.7270,0.0390,86120511.0,3621099.0,580929.6,0.0,3780251.0,411628.2,0.0,0.0,0.0,15528.0,0.0,90338067.5,4191879.2,411628.2,91.104,3.831,0.615,0.000,3.999,0.435,0.000,0.000,0.000,0.016,0.000,95.566,4.434,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LA,22,28390.90,733750635.9,344288826.9,91692052.3,41755071.3,76334.43,36287.94,121251.87,55070531.64,1125.20,1.665,1.738,2.645,1201.206,0.0123,0.208,0.211,0.330,150.107,0.0015,3.088,1.750,1.460,2.153,3.062,1.663,1.615,2.224,7.366,8.267,0.552,3.489,2171.382,1017.231,1108.505,1559.030,0.0391,0.0166,0.282,0.228,0.158,0.216,0.279,0.218,0.168,0.218,0.672,1.076,0.060,0.350,198.026,132.386,120.115,156.585,0.0036,0.0017,1.9280,1.9230,2.1820,1357.2080,0.0070,23652957.7,4150173.4,40660949.0,17079981.0,1098825.0,2989825.9,0.0,0.0,0.0,1452516.3,606823.9,87603401.4,4088650.9,2989825.9,25.796,4.526,44.345,18.628,1.198,3.261,0.000,0.000,0.000,1.584,0.662,95.541,4.459,3.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
